Entity,Code,Year,gdp_pc,GDP per capita (Annotations),polity_score,conflict_deaths,gdp_growth,econ_collapse,is_dictatorship,is_war
Abkhazia,OWID_ABK,1989,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,1990,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,1991,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,1992,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,1993,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,1994,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,1995,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,1996,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,1997,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,1998,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,1999,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2000,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2001,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2002,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2003,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2004,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2005,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2006,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2007,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2008,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2009,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2010,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2011,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2012,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2013,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2014,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2015,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2016,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2017,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2018,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2019,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2020,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2021,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2022,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2023,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2024,,,,0.0,,0,0,0
Abkhazia,OWID_ABK,2025,,,,0.0,,0,0,0
Abyei,,1989,,,,0.0,,0,0,0
Abyei,,1990,,,,0.0,,0,0,0
Abyei,,1991,,,,0.0,,0,0,0
Abyei,,1992,,,,0.0,,0,0,0
Abyei,,1993,,,,0.0,,0,0,0
Abyei,,1994,,,,0.0,,0,0,0
Abyei,,1995,,,,0.0,,0,0,0
Abyei,,1996,,,,0.0,,0,0,0
Abyei,,1997,,,,61.0,,0,0,1
Abyei,,1998,,,,18.0,,0,0,0
Abyei,,1999,,,,0.0,,0,0,0
Abyei,,2000,,,,0.0,,0,0,0
Abyei,,2001,,,,0.0,,0,0,0
Abyei,,2002,,,,0.0,,0,0,0
Abyei,,2003,,,,0.0,,0,0,0
Abyei,,2004,,,,0.0,,0,0,0
Abyei,,2005,,,,0.0,,0,0,0
Abyei,,2006,,,,0.0,,0,0,0
Abyei,,2007,,,,0.0,,0,0,0
Abyei,,2008,,,,15.0,,0,0,0
Abyei,,2009,,,,1.0,,0,0,0
Abyei,,2010,,,,140.0,,0,0,1
